"排名","名称","galaxy","rabbit","travel","总分"
"1","1008JJZ","100","100","25","225"
"2","xiaohan","0","100","35","135"
"3","pty","100","0","20","120"
"4","DJQ","90","20","0","110"
"4","fzx","0","100","10","110"
"6","qujunyi","0","90","15","105"
"7","柳子奥","0","20","20","40"
"8","DengYufan","0","20","5","25"
"8","xlwang","0","20","5","25"
"8","xyqwq","0","0","25","25"
"11","syc","20","0","0","20"
"11","xkr","0","0","20","20"
"13","l-zyq7","0","0","15","15"
"14","XiaoJinYu_10_8","0","0","5","5"
"15","hezewei1008","0","0","0","0"
"15","std","0","0","0","0"
