"xcr",AAAAAAAAAA,AAAAAAAAAA,AAAAAAAAAA,300
"std",AAAAAAAAAA,AAAAAAAAAA,AAAAAAAAAA,300
"_xm45",AAATTTBBBB,AAAAAAAAAA,AAAAAAAAAA,230
"hyy16",AAAAAAAAAA,**********,AAAAAAAAAA,200
"zjc",WWWWWWWWWW,AAAAAAAAAA,AAAAAAAAAA,200
"Cxm",AAAWWWBBBB,WWTTTTTTTT,AAAAAAAAAA,130
"lwh",AAATTTTTTT,WWWWWWWWWW,AAAAAAAAAA,130
"hs",AAAAAAAAAA,AAWWWWWWWW,BBBBBBBBBB,120
"Strayer",WWWTTTTTTT,AABBWWBBBB,AAAAAAAAAA,120
"tyq",WWWWWWWWWW,AATTTTTTTT,AAAAAAAAAA,120
"awc",??????????,WWWWWWWWWW,AAAAAAAAAA,100
"kevin",??????????,WWWWWWWWWW,AAAAAAAAAA,100
"mew",WWWWWWWWWW,WWBBBBBBBB,AAAAAAAAAA,100
"wx",??????????,AATTTTTTTT,AAAAAAAAWW,100
"csq",??????????,AAAAAAAAAA,??????????,100
"_xpd",WWWWWWWWWW,----------,AAAAAAAAAA,100
"zjr",??????????,WWTTTTTTTT,AAAAAAAAWW,80
"wly",??????????,AATTTTTTTT,AAAAAAWWWW,80
"hzg",AAATTTTTTT,AATTTTTTTT,AATTTTTTTT,70
"6A03",AWWWWWWWWW,AABBBBBBBB,AATTTTWWWW,50
"ljt",WWWTTTTTTT,AABBBBBBBB,AATTTTTTTT,40
"hanyuwei70",??????????,AATTTTTTTT,AATTTTTTTT,40
"wym",??????????,AAWWWWWWWW,AATTTWWWWW,40
"wzk",WWWWWWWWWW,AABBBBBBBB,AAWWWWWWWW,40
"xsy",WWWWWWTTTT,??????????,AAWAAWWWWW,40
"txh.wind",BWWBBBBBBB,AABBBBBBBT,WATWTTTTTT,30
"hza",WWWTTTTTTT,WWTTTTTTTT,AATTTTTTTT,20
"SatoshiTS",WWWWWWWWWW,WWWWWWWWWW,AATTTTTTTT,20
"xyq",??????????,WWTTTTTTTT,AATTTTTTTT,20
"wml",WWWTTTTTTT,??????????,AATTTTTTTT,20
"yjk",??????????,WWTTTTTTTT,AATTTTTTTT,20
"BR",WWWBBBBBBB,WWWWWWWWWW,WAWWWWWWWW,10
"wzj",----------,WWWWWWWWWW,WWTWWTTTTT,0
"zwx",WWWWWWWWWW,??????????,WWWWWWWWWB,0
"ZYY",WWWWWWWWWW,??????????,??????????,0

"R=无法运行
T=超时
M=超内存
Y=运行时错误
B=崩溃
A=正确
W=错误的答案
P=得部分分
*=程序无输出
[=缺标准输入
]=无标准输出
?=无程序
^=自定义评测错误
-=编译错误"
