"排名","名称","h","x","c","总分"
"1","std","100","100","100","300"
"2","B02_xkr","30","100","40","170"
"2","C05_DengYufan","60","70","40","170"
"2","D01_Tudei's ws","30","100","40","170"
"2","D01_pty","30","100","40","170"
"6","xyq","0","50","100","150"
"7","C03_xiaohan","30","100","15","145"
"8","D03_houjiacheng","0","100","40","140"
"9","B04_Zyq.10.26","5","100","25","130"
"9","C07_lcs","30","100","0","130"
"9","D02_DJQ","30","100","0","130"
"12","E04_fzx","30","50","40","120"
"12","F04_linuopeng","30","50","40","120"
"12","xlwang","0","100","20","120"
"15","C03_1026JJZ","0","100","0","100"
"15","D06_XiaoJinYu_10_26","60","0","40","100"
"17","B03_柳子奥","30","45","20","95"
"18","C06_xzQ","30","50","5","85"
"19","B04_qujunyi","25","50","0","75"
"20","D05_hezewei1026","0","0","20","20"
"21","A02_yq","10","0","0","10"
"22","A05_xhj","0","0","5","5"
"23","A04_tyh","0","0","0","0"
"23","B01","0","0","0","0"
"23","qhy114514","0","0","0","0"
