"排名","名称","clickbait","simple","travel","agnus","总分"
"1","1013JJZ","100","100","100","100","400"
"1","std","100","100","100","100","400"
"3","limulin20221013","90","20","100","100","310"
"4","qujunyi","80","20","100","100","300"
"5","fzx","100","0","30","100","230"
"6","rbtree","0","20","100","100","220"
"7","hzt","10","40","30","100","180"
"8","ImposterAnYu","0","100","50","9","159"
"9","Has20221013","0","40","100","9","149"
"10","yaochenjun","0","20","0","100","120"
"11","Sakulaa","0","0","100","9","109"
"12","1013zf","10","40","0","35","85"
"13","jiangshu","0","40","30","9","79"
"14","tanxl","0","0","30","9","39"
"15","carry1013","0","20","0","9","29"
