"排名","名称","dt","orbits","trip","vote","总分"
"1","std","100","100","100","100","400"
"2","fzx","100","50","100","100","350"
"3","hzt","100","20","100","100","320"
"4","1015JJZ","100","100","100","0","300"
"5","pgc","100","20","100","30","250"
"5","rbtree","100","20","100","30","250"
"7","qujunyi","100","0","70","70","240"
"8","yaochenjun","100","0","100","30","230"
"9","sb_yyds","100","0","100","0","200"
"10","ylx","100","0","60","30","190"
"11","1014zf","30","20","100","0","150"
"11","Has20221015","30","20","70","30","150"
"13","carry1015","100","0","10","30","140"
"13","limulin20221015","100","0","0","40","140"
"15","Pretharp","0","20","90","0","110"
"16","ImposterAnYu","60","0","10","30","100"
"16","jiangshu","100","0","0","0","100"
"16","yyx","100","0","0","0","100"
"19","tanxl","60","20","0","0","80"
