"排名","名称","go","portal","prime","yggdrasil","总分"
"1","std","100","100","100","100","400"
"2","Lightwhite","100","100","100","90","390"
"3","Has20221016","73","70","100","100","343"
"4","fzx","100","70","100","70","340"
"4","sb_yyds","100","60","100","80","340"
"6","ImposterAnYu","40","100","100","60","300"
"7","rbtree","82","90","100","0","272"
"8","hzt","100","70","30","60","260"
"9","SMSWlimulin","0","100","100","0","200"
"10","Pretharp","100","50","30","0","180"
"11","1016zf","0","40","30","100","170"
"11","yaochenjun","0","20","100","50","170"
"13","pgc","0","100","30","0","130"
"14","ylx","0","0","30","80","110"
"15","yyx","0","0","100","0","100"
"16","jiangshu","9","0","30","0","39"
"17","tanxl","8","20","0","0","28"
"18","rzx","0","0","0","0","0"
