"排名","名称","cube","triangle","section","graph","总分"
"1","std","100","100","100","100","400"
"2","A01_rbtree","100","60","60","20","240"
"3","A05_nzq","30","60","60","60","210"
"4","E04_ylx","30","60","60","40","190"
"4","E05_hzt","30","100","40","20","190"
"6","B03_linuopeng","30","60","60","20","170"
"6","D03_txl","30","60","60","20","170"
"8","D05_lmlscfyy","30","60","60","10","160"
"8","Has20221023","0","60","60","40","160"
"8","Pretharp","30","60","60","10","160"
"11","B05_J_tree","30","60","60","0","150"
"11","yaochenjun","30","60","60","0","150"
"13","C01_yq","0","60","60","0","120"
"14","C03_sb_yyds","0","40","60","0","100"
"15","1023zf","30","0","60","0","90"
"15","ImposterAnYu","30","60","0","0","90"
"15","pgc","30","30","30","0","90"
"18","YuxinY","0","60","0","0","60"
